order_book_id,industry_code,market_tplus,symbol,special_type,exchange,status,type,de_listed_date,listed_date,sector_code_name,abbrev_symbol,sector_code,round_lot,trading_hours,board_type,industry_name,issue_price,trading_code,office_address,province,purchasedate
603896.XSHG,C27,1,寿仙谷,Normal,XSHG,Active,CS,0000-00-00,2017-05-10,医疗保健,SXG,HealthCare,100.0,"09:31-11:30,13:01-15:00",MainBoard,医药制造业,11.54,603896,浙江省武义县黄龙三路12号,浙江省,
603897.XSHG,C38,1,长城科技,Normal,XSHG,Active,CS,0000-00-00,2018-04-10,工业,CCKJ,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,电气机械和器材制造业,17.66,603897,浙江省湖州练市长城大道东1号,浙江省,
603898.XSHG,C21,1,好莱客,Normal,XSHG,Active,CS,0000-00-00,2015-02-17,非必须消费品,HLK,ConsumerDiscretionary,100.0,"09:31-11:30,13:01-15:00",MainBoard,家具制造业,19.57,603898,广州市天河区科韵路18号好莱客创意中心,广东省,
603899.XSHG,C24,1,晨光股份,Normal,XSHG,Active,CS,0000-00-00,2015-01-27,工业,CGGF,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,文教、工美、体育和娱乐用品制造业,13.15,603899,上海市松江区新桥镇千帆路288弄5号,上海市,
603900.XSHG,F52,1,莱绅通灵,Normal,XSHG,Active,CS,0000-00-00,2016-11-23,非必须消费品,LSTL,ConsumerDiscretionary,100.0,"09:31-11:30,13:01-15:00",MainBoard,零售业,14.25,603900,南京市雨花台区花神大道19号,江苏省,
603901.XSHG,C35,1,永创智能,Normal,XSHG,Active,CS,0000-00-00,2015-05-29,工业,YCZN,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,专用设备制造业,15.81,603901,杭州市西湖区三墩镇西园九路1号,浙江省,
603903.XSHG,N77,1,中持股份,Normal,XSHG,Active,CS,0000-00-00,2017-03-14,公用事业,ZCGF,Utilities,100.0,"09:31-11:30,13:01-15:00",MainBoard,生态保护和环境治理业,9.88,603903,北京市海淀区西小口路66号B-2栋四层C402室,北京市,
603906.XSHG,C26,1,龙蟠科技,Normal,XSHG,Active,CS,0000-00-00,2017-04-10,原材料,LPKJ,Materials,100.0,"09:31-11:30,13:01-15:00",MainBoard,化学原料和化学制品制造业,9.52,603906,南京经济技术开发区恒通大道6号,江苏省,
603908.XSHG,C18,1,牧高笛,Normal,XSHG,Active,CS,0000-00-00,2017-03-07,非必须消费品,MGD,ConsumerDiscretionary,100.0,"09:31-11:30,13:01-15:00",MainBoard,纺织服装、服饰业,16.37,603908,宁波市江东北路475号和丰创意广场意庭楼14楼,浙江省,
603909.XSHG,M74,1,建发合诚,Normal,XSHG,Active,CS,0000-00-00,2016-06-28,工业,JFHC,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,专业技术服务业,10.55,603909,厦门市湖里区枋钟路2368号1101-1104单元,福建省,
603912.XSHG,C35,1,佳力图,Normal,XSHG,Active,CS,0000-00-00,2017-11-01,工业,JLT,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,专用设备制造业,8.64,603912,南京市江宁经济技术开发区苏源大道88号,江苏省,
603915.XSHG,C34,1,国茂股份,Normal,XSHG,Active,CS,0000-00-00,2019-06-14,工业,GMGF,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,通用设备制造业,10.35,603915,常州市武进高新技术产业开发区龙潜路98号,江苏省,
603916.XSHG,C26,1,苏博特,Normal,XSHG,Active,CS,0000-00-00,2017-11-10,原材料,SBT,Materials,100.0,"09:31-11:30,13:01-15:00",MainBoard,化学原料和化学制品制造业,9.02,603916,南京市江宁区淳化街道醴泉路118号,江苏省,
603917.XSHG,C35,1,合力科技,Normal,XSHG,Active,CS,0000-00-00,2017-12-04,工业,HLKJ,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,专用设备制造业,14.22,603917,浙江象山工业园区西谷路358号,浙江省,
603918.XSHG,I65,1,金桥信息,Normal,XSHG,Active,CS,0000-00-00,2015-05-28,信息技术,JQXX,InformationTechnology,100.0,"09:31-11:30,13:01-15:00",MainBoard,软件和信息技术服务业,9.5,603918,上海市徐汇区田林路487号宝石园25号楼,上海市,
603919.XSHG,C15,1,金徽酒,Normal,XSHG,Active,CS,0000-00-00,2016-03-10,必需消费品,JHJ,ConsumerStaples,100.0,"09:31-11:30,13:01-15:00",MainBoard,酒、饮料和精制茶制造业,10.94,603919,甘肃省陇南市徽县伏家镇,甘肃省,
603920.XSHG,C39,1,世运电路,Normal,XSHG,Active,CS,0000-00-00,2017-04-26,信息技术,SYDL,InformationTechnology,100.0,"09:31-11:30,13:01-15:00",MainBoard,计算机、通信和其他电子设备制造业,15.08,603920,广东省江门鹤山市共和镇世运路8号,广东省,
603922.XSHG,C36,1,金鸿顺,Normal,XSHG,Active,CS,0000-00-00,2017-10-23,非必须消费品,JHS,ConsumerDiscretionary,100.0,"09:31-11:30,13:01-15:00",MainBoard,汽车制造业,17.54,603922,江苏省张家港经济开发区长兴路30号,江苏省,
603926.XSHG,C36,1,铁流股份,Normal,XSHG,Active,CS,0000-00-00,2017-05-10,非必须消费品,TLGF,ConsumerDiscretionary,100.0,"09:31-11:30,13:01-15:00",MainBoard,汽车制造业,20.4,603926,浙江省杭州市临平区临平街道兴国路398号,浙江省,
603927.XSHG,I65,1,中科软,Normal,XSHG,Active,CS,0000-00-00,2019-09-09,信息技术,ZKR,InformationTechnology,100.0,"09:31-11:30,13:01-15:00",MainBoard,软件和信息技术服务业,16.18,603927,北京市海淀区中关村新科祥园甲6号楼,北京市,
603928.XSHG,C26,1,兴业股份,Normal,XSHG,Active,CS,0000-00-00,2016-12-12,原材料,XYGF,Materials,100.0,"09:31-11:30,13:01-15:00",MainBoard,化学原料和化学制品制造业,10.12,603928,苏州市高新区浒关工业园道安路15号,江苏省,
603929.XSHG,E49,1,亚翔集成,Normal,XSHG,Active,CS,0000-00-00,2016-12-30,工业,YXJC,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,建筑安装业,4.94,603929,苏州工业园区方达街33号,江苏省,
603931.XSHG,C26,1,格林达,Normal,XSHG,Active,CS,0000-00-00,2020-08-19,原材料,GLD,Materials,100.0,"09:31-11:30,13:01-15:00",MainBoard,化学原料和化学制品制造业,21.38,603931,萧山区杭州萧山临江工业园区红十五路9936号,浙江省,
603933.XSHG,C39,1,睿能科技,Normal,XSHG,Active,CS,0000-00-00,2017-07-06,信息技术,RNKJ,InformationTechnology,100.0,"09:31-11:30,13:01-15:00",MainBoard,计算机、通信和其他电子设备制造业,20.2,603933,福建省福州市鼓楼区铜盘路软件大道89号软件园C区26号A幢三层,福建省,
603936.XSHG,C39,1,博敏电子,Normal,XSHG,Active,CS,0000-00-00,2015-12-09,信息技术,BMDZ,InformationTechnology,100.0,"09:31-11:30,13:01-15:00",MainBoard,计算机、通信和其他电子设备制造业,8.06,603936,梅州市经济开发试验区东升工业园,广东省,
603937.XSHG,C33,1,丽岛新材,Normal,XSHG,Active,CS,0000-00-00,2017-11-02,工业,LDXC,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,金属制品业,9.59,603937,常州市龙城大道1959号,江苏省,
603938.XSHG,C26,1,三孚股份,Normal,XSHG,Active,CS,0000-00-00,2017-06-28,原材料,SFGF,Materials,100.0,"09:31-11:30,13:01-15:00",MainBoard,化学原料和化学制品制造业,9.64,603938,唐山市南堡开发区希望路512号,河北省,
603939.XSHG,F52,1,益丰药房,Normal,XSHG,Active,CS,0000-00-00,2015-02-17,医疗保健,YFYF,HealthCare,100.0,"09:31-11:30,13:01-15:00",MainBoard,零售业,19.47,603939,湖南省长沙市麓谷高新区金洲大道68号,湖南省,
603948.XSHG,C26,1,建业股份,Normal,XSHG,Active,CS,0000-00-00,2020-03-02,原材料,JYGF,Materials,100.0,"09:31-11:30,13:01-15:00",MainBoard,化学原料和化学制品制造业,14.25,603948,浙江省建德市梅城镇严东关路8号,浙江省,
603949.XSHG,C36,1,雪龙集团,Normal,XSHG,Active,CS,0000-00-00,2020-03-10,非必须消费品,XLJT,ConsumerDiscretionary,100.0,"09:31-11:30,13:01-15:00",MainBoard,汽车制造业,12.66,603949,浙江省宁波市北仑区黄山西路211号,浙江省,
603950.XSHG,C36,1,长源东谷,Normal,XSHG,Active,CS,0000-00-00,2020-05-26,非必须消费品,CYDG,ConsumerDiscretionary,100.0,"09:31-11:30,13:01-15:00",MainBoard,汽车制造业,15.81,603950,湖北省襄阳市襄州区钻石大道(洪山头工业园),湖北省,
603955.XSHG,E48,1,大千生态,Normal,XSHG,Active,CS,0000-00-00,2017-03-10,工业,DQST,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,土木工程建筑业,15.26,603955,南京市鼓楼区集庆门大街270号苏宁睿城慧谷E-06号楼45层4505室,江苏省,
603956.XSHG,C35,1,威派格,Normal,XSHG,Active,CS,0000-00-00,2019-02-22,工业,WPG,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,专用设备制造业,5.7,603956,上海市嘉定区恒定路1号,上海市,
603958.XSHG,C19,1,哈森股份,Normal,XSHG,Active,CS,0000-00-00,2016-06-29,非必须消费品,HSGF,ConsumerDiscretionary,100.0,"09:31-11:30,13:01-15:00",MainBoard,皮革、毛皮、羽毛及其制品和制鞋业,9.15,603958,江苏省昆山市花桥镇曹安经济技术开发区花安路1008号,江苏省,
603959.XSHG,E48,1,ST百利,Other,XSHG,Active,CS,0000-00-00,2016-05-17,工业,STBL,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,土木工程建筑业,6.03,603959,湖南省岳阳市岳阳经济技术开发区巴陵东路388号,湖南省,
603960.XSHG,C35,1,克来机电,Normal,XSHG,Active,CS,0000-00-00,2017-03-14,工业,KLJD,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,专用设备制造业,9.51,603960,上海市宝山区罗东路1555号,上海市,
603963.XSHG,C27,1,*ST大药,StarST,XSHG,Active,CS,0000-00-00,2017-09-22,医疗保健,*STDY,HealthCare,100.0,"09:31-11:30,13:01-15:00",MainBoard,医药制造业,12.58,603963,云南省大理市下关环城西路118号,云南省,
603966.XSHG,C34,1,法兰泰克,Normal,XSHG,Active,CS,0000-00-00,2017-01-25,工业,FLTK,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,通用设备制造业,7.32,603966,江苏省苏州市吴江汾湖经济开发区汾越路288号、388号,江苏省,
603967.XSHG,G58,1,中创物流,Normal,XSHG,Active,CS,0000-00-00,2019-04-29,工业,ZCWL,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,装卸搬运和运输代理业,15.32,603967,山东省青岛市崂山区深圳路169号中创大厦23层,山东省,
603968.XSHG,C26,1,醋化股份,Normal,XSHG,Active,CS,0000-00-00,2015-05-18,原材料,CHGF,Materials,100.0,"09:31-11:30,13:01-15:00",MainBoard,化学原料和化学制品制造业,19.58,603968,江苏省南通经济技术开发区江山路968号,江苏省,
603969.XSHG,C33,1,银龙股份,Normal,XSHG,Active,CS,0000-00-00,2015-02-27,原材料,YLGF,Materials,100.0,"09:31-11:30,13:01-15:00",MainBoard,金属制品业,13.79,603969,天津市北辰区双源工业区双江道62号,天津市,
603970.XSHG,F51,1,中农立华,Normal,XSHG,Active,CS,0000-00-00,2017-11-16,工业,ZNLH,Industrials,100.0,"09:31-11:30,13:01-15:00",MainBoard,批发业,12.47,603970,北京市西城区宣武门外大街甲1号九层912室,北京市,
603976.XSHG,C27,1,正川股份,Normal,XSHG,Active,CS,0000-00-00,2017-08-22,原材料,ZCGF,Materials,100.0,"09:31-11:30,13:01-15:00",MainBoard,医药制造业,14.32,603976,重庆市北碚区龙凤桥街道正川玻璃工业园,重庆市,
603977.XSHG,C26,1,国泰集团,Normal,XSHG,Active,CS,0000-00-00,2016-11-11,原材料,GTJT,Materials,100.0,"09:31-11:30,13:01-15:00",MainBoard,化学原料和化学制品制造业,6.45,603977,江西省南昌高新区高新大道699号国泰集团,江西省,
603978.XSHG,C32,1,深圳新星,Normal,XSHG,Active,CS,0000-00-00,2017-08-07,原材料,SZXX,Materials,100.0,"09:31-11:30,13:01-15:00",MainBoard,有色金属冶炼和压延加工业,29.93,603978,深圳市宝安区观光路公明镇高新技术产业园新星厂区A栋,广东省,
