code_key,code,Close,Vol_Ratio,Pattern,select_time,symbol,sector_code_name,industry_name,strategy_name,date
603017,603017.SH,11.190000000000001,1.03,1板2调,2025-12-05,中衡设计,工业,专业技术服务业,n_pattern_rebound,20251205
301136,301136.SZ,26.87,1.21,1板3调,2025-12-05,招标股份,工业,专业技术服务业,n_pattern_rebound,20251205
002031,002031.SZ,8.04,5.1,1板1调,2025-12-05,巨轮智能,工业,专用设备制造业,n_pattern_rebound,20251205
300095,300095.SZ,10.97,3.88,1板1调,2025-12-05,华伍股份,工业,专用设备制造业,n_pattern_rebound,20251205
301510,301510.SZ,39.91,1.57,1板1调,2025-12-05,固高科技,信息技术,仪器仪表制造业,n_pattern_rebound,20251205
002515,002515.SZ,6.73,2.29,1板2调,2025-12-05,金字火腿,必需消费品,农副食品加工业,n_pattern_rebound,20251205
603536,603536.SH,13.92,1.03,1板3调,2025-12-05,惠发食品,必需消费品,农副食品加工业,n_pattern_rebound,20251205
000703,000703.SZ,8.4,0.55,1板3调,2025-12-05,恒逸石化,原材料,化学纤维制造业,n_pattern_rebound,20251205
002107,002107.SZ,6.8100000000000005,5.92,1板1调,2025-12-05,沃华医药,医疗保健,医药制造业,n_pattern_rebound,20251205
002566,002566.SZ,8.85,2.27,1板2调,2025-12-05,益盛药业,医疗保健,医药制造业,n_pattern_rebound,20251205
603590,603590.SH,42.790000000000006,1.73,1板2调,2025-12-05,康辰药业,医疗保健,医药制造业,n_pattern_rebound,20251205
002836,002836.SZ,16.310000000000002,1.4,1板2调,2025-12-05,新宏泽,工业,印刷和记录媒介复制业,n_pattern_rebound,20251205
000812,000812.SZ,5.2,0.89,1板3调,2025-12-05,陕西金叶,工业,印刷和记录媒介复制业,n_pattern_rebound,20251205
002344,002344.SZ,5.109999999999999,3.53,1板1调,2025-12-05,海宁皮城,房地产,商务服务业,n_pattern_rebound,20251205
002769,002769.SZ,12.940000000000001,0.0,1板2调,2025-12-05,普路通,工业,商务服务业,n_pattern_rebound,20251205
300269,300269.SZ,7.640000000000001,1.09,1板3调,2025-12-05,联建光电,信息技术,商务服务业,n_pattern_rebound,20251205
603898,603898.SH,13.16,0.83,1板3调,2025-12-05,好莱客,非必须消费品,家具制造业,n_pattern_rebound,20251205
600217,600217.SH,4.36,1.99,1板1调,2025-12-05,中再资环,工业,废弃资源综合利用业,n_pattern_rebound,20251205
603163,603163.SH,59.059999999999995,0.84,1板3调,2025-12-05,圣晖集成,非必须消费品,建筑安装业,n_pattern_rebound,20251205
002620,002620.SZ,5.7,1.35,1板1调,2025-12-05,瑞和股份,工业,建筑装饰和其他建筑业,n_pattern_rebound,20251205
000608,000608.SZ,2.65,0.68,1板3调,2025-12-05,阳光股份,房地产,房地产业,n_pattern_rebound,20251205
600340,600340.SH,2.57,0.82,1板3调,2025-12-05,华夏幸福,房地产,房地产业,n_pattern_rebound,20251205
600829,600829.SH,13.29,1.0,1板3调,2025-12-05,人民同泰,必需消费品,批发业,n_pattern_rebound,20251205
002575,002575.SZ,7.21,1.43,1板1调,2025-12-05,群兴玩具,非必须消费品,文教、工美、体育和娱乐用品制造业,n_pattern_rebound,20251205
600255,600255.SH,4.09,1.94,1板2调,2025-12-05,鑫科材料,原材料,有色金属冶炼和压延加工业,n_pattern_rebound,20251205
600281,600281.SH,6.44,1.42,1板2调,2025-12-05,华阳新材,工业,有色金属冶炼和压延加工业,n_pattern_rebound,20251205
002631,002631.SZ,6.069999999999999,1.93,1板2调,2025-12-05,德尔未来,原材料,木材加工和木、竹、藤、棕、草制品业,n_pattern_rebound,20251205
000592,000592.SZ,11.870000000000001,0.97,1板3调,2025-12-05,平潭发展,原材料,林业,n_pattern_rebound,20251205
601500,601500.SH,4.71,0.86,1板3调,2025-12-05,通用股份,非必须消费品,橡胶和塑料制品业,n_pattern_rebound,20251205
603286,603286.SH,53.0,1.33,1板2调,2025-12-05,日盈电子,非必须消费品,汽车制造业,n_pattern_rebound,20251205
000572,000572.SZ,9.22,1.01,1板3调,2025-12-05,海马汽车,非必须消费品,汽车制造业,n_pattern_rebound,20251205
